Date,Open,High,Low,Close,Adj Close,Volume,Log Return
14-12-2020,3143,3190.469971,3126,3156.969971,3156.969971,4155800,0.012927816
11-12-2020,3096.659912,3118.669922,3072.820068,3116.419922,3116.419922,3064700,0.004802244
10-12-2020,3088.98999,3142.100098,3076,3101.48999,3101.48999,3030200,-0.000873379
09-12-2020,3167.889893,3174.429932,3088,3104.199951,3104.199951,4100800,-0.023272627
08-12-2020,3158.899902,3184.129883,3120.02002,3177.290039,3177.290039,3286300,0.006089729
07-12-2020,3156.47998,3180.76001,3141.689941,3158,3158,2751300,-0.001449259
04-12-2020,3198.209961,3198.209961,3158.76001,3162.580078,3162.580078,2913600,-0.007607132
03-12-2020,3205.459961,3228.639893,3181.310059,3186.72998,3186.72998,2892000,-0.005258029
02-12-2020,3221.649902,3232,3173.26001,3203.530029,3203.530029,3129300,-0.005152892
01-12-2020,3188.5,3248.949951,3157.179932,3220.080078,3220.080078,4544400,0.016293116
30-11-2020,3208.47998,3228.389893,3125.550049,3168.040039,3168.040039,4063900,-0.008580414
27-11-2020,3211.26001,3216.189941,3190.050049,3195.340088,3195.340088,2392900,0.003219238
25-11-2020,3141.870117,3198,3140.26001,3185.070068,3185.070068,3790400,0.021263256
24-11-2020,3100.5,3134.25,3086.26001,3118.060059,3118.060059,3602100,0.006328445
23-11-2020,3116.699951,3139.75,3065.459961,3098.389893,3098.389893,4708900,-0.000325926
20-11-2020,3117.02002,3132.889893,3098.050049,3099.399902,3099.399902,3374400,-0.005668911
19-11-2020,3105.310059,3125,3080.919922,3117.02002,3117.02002,3010300,0.003715584
18-11-2020,3134,3140,3105.100098,3105.459961,3105.459961,2916800,-0.00967781
17-11-2020,3183.540039,3189.25,3135.26001,3135.659912,3135.659912,3444700,0.001468026
16-11-2020,3093.199951,3142.699951,3072.689941,3131.060059,3131.060059,3808700,0.000718865
13-11-2020,3122,3141.719971,3085.389893,3128.810059,3128.810059,3756200,0.005939996
12-11-2020,3159.949951,3175.879883,3086.050049,3110.280029,3110.280029,4362000,-0.008678446
11-11-2020,3061.780029,3139.149902,3050,3137.389893,3137.389893,4366900,0.033173189
10-11-2020,3095.02002,3114,3019.47998,3035.02002,3035.02002,6591000,-0.03519515
09-11-2020,3231.030029,3289,3112.110107,3143.73999,3143.73999,7190400,-0.051948866
06-11-2020,3304.639893,3322,3232,3311.370117,3311.370117,4647300,-0.003204975
05-11-2020,3319.969971,3366.800049,3288.879883,3322,3322,5789300,0.024635748
04-11-2020,3159.98999,3244.850098,3139.72998,3241.159912,3241.159912,6839000,0.061311149
03-11-2020,3018.530029,3074.899902,2980.97998,3048.409912,3048.409912,4897900,0.014515613
02-11-2020,3061.73999,3079.709961,2950.120117,3004.47998,3004.47998,7257400,-0.010485732
30-10-2020,3157.75,3167,3019,3036.149902,3036.149902,8386400,-0.055995299
29-10-2020,3201.27002,3257.25,3164,3211.01001,3211.01001,6596500,0.015134136
28-10-2020,3249.300049,3264.02002,3162.469971,3162.780029,3162.780029,5588300,-0.038320068
27-10-2020,3224.939941,3291.659912,3211.300049,3286.330078,3286.330078,4291000,0.024423059
26-10-2020,3198.73999,3282.97998,3153.300049,3207.040039,3207.040039,5901200,0.000823571
23-10-2020,3191,3205.330078,3140,3204.399902,3204.399902,3466700,0.008776386
22-10-2020,3189.870117,3198.75,3121.939941,3176.399902,3176.399902,4212000,-0.002684983
21-10-2020,3212.5,3233.879883,3160,3184.939941,3184.939941,4592700,-0.010018928
20-10-2020,3222.280029,3266,3192.01001,3217.01001,3217.01001,4509700,0.003050972
19-10-2020,3299.610107,3329,3192.73999,3207.209961,3207.209961,5223600,-0.020216988
16-10-2020,3363.22998,3399.659912,3160,3272.709961,3272.709961,6474400,-0.019948128
15-10-2020,3292.01001,3355.879883,3280,3338.649902,3338.649902,5223400,-0.007478016
14-10-2020,3447,3464.879883,3340,3363.709961,3363.709961,5828900,-0.023481594
13-10-2020,3467.98999,3492.379883,3424.219971,3443.629883,3443.629883,5744700,0.00020328
12-10-2020,3349.939941,3496.23999,3339.550049,3442.929932,3442.929932,8364200,0.046454054
09-10-2020,3210,3288.98999,3197.830078,3286.649902,3286.649902,4907900,0.029675448
08-10-2020,3224.98999,3233.290039,3174.98999,3190.550049,3190.550049,3174100,-0.001609677
07-10-2020,3135,3200,3132.389893,3195.689941,3195.689941,4309400,0.030413813
06-10-2020,3165,3182,3090,3099.959961,3099.959961,5086900,-0.031511568
05-10-2020,3145.840088,3202.530029,3140.850098,3199.199951,3199.199951,3775300,0.02346648
02-10-2020,3153.629883,3195.800049,3123,3125,3125,5613100,-0.030338307
01-10-2020,3208,3224,3172,3221.26001,3221.26001,4971900,0.0227734
30-09-2020,3141.139893,3212.879883,3133.98999,3148.72998,3148.72998,4883400,0.001223494
29-09-2020,3175.389893,3188.26001,3132.540039,3144.879883,3144.879883,3495800,-0.009232694
28-09-2020,3148.850098,3175.040039,3117.169922,3174.050049,3174.050049,4224200,0.02517852
25-09-2020,3054.860107,3101.540039,2999,3095.129883,3095.129883,4615200,0.024642565
24-09-2020,2977.790039,3069.300049,2965,3019.790039,3019.790039,5529400,0.006621649
23-09-2020,3120.429932,3127,2992.379883,2999.860107,2999.860107,5652700,-0.042144609
22-09-2020,3033.840088,3133.98999,3000.199951,3128.98999,3128.98999,6948800,0.055362236
21-09-2020,2906.5,2962,2871,2960.469971,2960.469971,6117900,0.001879866
18-09-2020,3031.73999,3037.800049,2905.540039,2954.909912,2954.909912,8892600,-0.018049892
17-09-2020,3009.25,3029.429932,2972.550049,3008.72998,3008.72998,6449100,-0.022794499
16-09-2020,3179.98999,3187.23999,3074.149902,3078.100098,3078.100098,4512200,-0.025034001
15-09-2020,3136.159912,3175.02002,3108.919922,3156.129883,3156.129883,4021500,0.016986848
14-09-2020,3172.939941,3187.389893,3096,3102.969971,3102.969971,4529600,-0.004261012
11-09-2020,3208.689941,3217.340088,3083.97998,3116.219971,3116.219971,5094000,-0.018721592
10-09-2020,3307.219971,3349.889893,3170.550049,3175.110107,3175.110107,5330700,-0.02902254
09-09-2020,3202.98999,3303.179932,3185,3268.610107,3268.610107,5188700,0.037013165
08-09-2020,3144,3250.850098,3130,3149.840088,3149.840088,6094200,-0.044939185
04-09-2020,3318,3381.5,3111.129883,3294.620117,3294.620117,8781800,-0.022028226
03-09-2020,3485,3488.409912,3303,3368,3368,8161100,-0.047389441
02-09-2020,3547,3552.25,3486.689941,3531.449951,3531.449951,3931500,0.009196996
01-09-2020,3489.580078,3513.870117,3467,3499.120117,3499.120117,3476400,0.0138591
31-08-2020,3408.98999,3495,3405,3450.959961,3450.959961,4185900,0.014347724
28-08-2020,3423,3433.370117,3386.5,3401.800049,3401.800049,2897000,0.000529286
27-08-2020,3450.050049,3453,3378,3400,3400,4264800,-0.012233714
26-08-2020,3351.110107,3451.73999,3344.570068,3441.850098,3441.850098,6508700,0.028097114
25-08-2020,3294.98999,3357.399902,3267,3346.48999,3346.48999,3992800,0.011731521
24-08-2020,3310.149902,3380.320068,3257.560059,3307.459961,3307.459961,4666300,0.006899108
21-08-2020,3295,3314.399902,3275.389893,3284.719971,3284.719971,3575900,-0.003843813
20-08-2020,3252,3312.620117,3238,3297.370117,3297.370117,3332500,0.011250799
19-08-2020,3303.01001,3315.899902,3256,3260.47998,3260.47998,4185100,-0.015825752
18-08-2020,3212,3320,3205.820068,3312.48999,3312.48999,5346000,0.040061426
17-08-2020,3173.120117,3194.969971,3154.179932,3182.409912,3182.409912,2691200,0.010865054
14-08-2020,3178.179932,3178.23999,3120,3148.02002,3148.02002,2751700,-0.004121077
13-08-2020,3182.98999,3217.52002,3155,3161.02002,3161.02002,3149000,-0.000385867
12-08-2020,3108,3174.389893,3101.419922,3162.23999,3162.23999,3527200,0.026133554
11-08-2020,3113.199951,3159.219971,3073,3080.669922,3080.669922,3718100,-0.021671047
10-08-2020,3170.310059,3172.51001,3101.52002,3148.159912,3148.159912,3167300,-0.006111865
07-08-2020,3224.01001,3240.810059,3140.669922,3167.459961,3167.459961,3929600,-0.018002958
06-08-2020,3194.360107,3247.469971,3165.429932,3225,3225,3940600,0.00621149
05-08-2020,3143.77002,3213.590088,3127.300049,3205.030029,3205.030029,3930000,0.020871316
04-08-2020,3101.209961,3167.23999,3101.209961,3138.830078,3138.830078,4694300,0.00861992
03-08-2020,3180.51001,3184,3104,3111.889893,3111.889893,5074700,-0.016821699
31-07-2020,3244,3246.820068,3151,3164.679932,3164.679932,8085500,0.036294167
30-07-2020,3014,3092,3005,3051.879883,3051.879883,6128300,0.006030788
29-07-2020,3030.98999,3039.159912,2996.77002,3033.530029,3033.530029,2974100,0.011004659
28-07-2020,3054.27002,3077.090088,2995.76001,3000.330078,3000.330078,3126700,-0.018126009
27-07-2020,3062,3098,3015.77002,3055.209961,3055.209961,4170500,0.01527046
24-07-2020,2930,3031.580078,2888,3008.909912,3008.909912,5632400,0.007458966
23-07-2020,3098.27002,3098.27002,2970,2986.550049,2986.550049,5656900,-0.037254159
22-07-2020,3125,3150,3065.26001,3099.909912,3099.909912,4104200,-0.012305028
21-07-2020,3232.48999,3240.580078,3105.719971,3138.290039,3138.290039,6135000,-0.018484771
20-07-2020,3000.199951,3201.360107,2994.02002,3196.840088,3196.840088,7598200,0.076308272
